town,score,number_of_posts
"Jackson, MS",0.20990719424460433,278
"Mahtomedi, MN",0.5096166666666666,36
"American Fork, UT",0.3034368,1000
"Universal City, TX",0.27758898071625343,2904
"Chester, NJ",0.26341370967741934,124
"Yardley, PA",0.32409083665338645,502
"Bishopville, SC",0.196012,100
"Seminole, AL",0.28019418282548475,361
"Town Creek, AL",0.25360967741935486,31
"Birmingham, PA",0.4230715789473684,380
"Blue Bell, PA",0.22019712918660286,836
"Fort Washington, PA",0.28220162601626014,738
"Pooler, GA",0.26754358225024993,26006
"Springfield, PA",0.30472340425531913,2210
"Millerton, PA",0.19465294117647058,34
"Orangeville, PA",0.25029166666666663,24
"Washington, PA",0.4219317239834211,8929
"Berkeley, CA",0.2543066729500471,21220
"Parker, PA",-0.027333333333333328,18
"Callaway, MN",0.15848484848484848,33
"La Crescent, MN",0.11635,28
"Hinckley, MN",n/a,0
"La Grange Park, IL",0.3243466150870406,517
"Altura, MN",n/a,0
"Yoakum, TX",n/a,0
"Connersville, IN",0.0,1
"Williamstown, PA",0.21502,300
"Smiths Grove, KY",0.25826533333333335,75
"Milton, MA",0.1741019512195122,820
"Waynesville, OH",0.2815808457711443,804
"Westfield, MA",0.23812141482194418,4156
"Midland, TX",0.4068830769230769,65
"Pelion, SC",0.49802554978008795,2501
"Eufaula, AL",0.27249411764705883,68
"Bristol, VA",0.2066175,2280
"Moscow, TN",0.180452,350
"Bethlehem, PA",0.3023864926739927,17474
"Dunbar, PA",0.09159166666666667,72
"Springboro, PA",0.29195497835497836,462
"Transfer, PA",0.09451571428571429,140
"Mount Vernon, MO",0.053127969348659,783
"Ringtown, PA",0.18267368421052632,38
"Granite City, IL",0.10858333333333335,48
"Millheim, PA",0.2412181818181818,22
"Palm, PA",0.13176868686868687,198
"Belle Plaine, KS",0.033120000000000004,20
"Parma, OH",0.045443272727272783,275
"Telephone, TX",n/a,0
"Medford, MA",0.25219468967062514,4464
"Henderson, KY",0.30299525395503746,2402
"Benton, KY",0.26054108187134506,687
"Texas city, TX",-0.01207391304347826,46
"Daytona Beach, FL",0.1369735294117647,34
"Deatsville, AL",0.2733117053481332,2973
"Alma, AR",0.24103071625344352,726
"Grandview, MO",0.2913261034047919,2379
"Marietta, OH",0.19634615384615384,13
"Camden, NJ",0.15357717250324254,3084
"Bergen, NY",0.0,6
"McAdoo, PA",0.0578,14
"Philipsburg, PA",0.15116262626262628,198
"Connellsville, PA",0.1034139534883721,258
"Cranberry Twp, PA",0.03958474576271188,118
"Greensburg, PA",0.2732800353803386,3957
"Johnstown, PA",0.3261072589675277,25901
"Isanti, MN",0.2878606458123108,991
"Howard, PA",0.4060972222222222,72
"Lake Harmony, PA",0.3418342105263158,76
"Medical Lake, WA",0.29181131386861314,1644
"Alexandria, MN",0.17628627881448958,911
"Glen Carbon, IL",0.2171384884884885,1998
"Medford, MN",0.26749354838709677,31
"La Fayette, IL",n/a,0
"Stoneham, MA",0.2848644165358451,1914
"San Carlos, CA",0.21369613793103448,2175
"Tolar, TX",n/a,0
"Pomona, KS",0.40839324473975636,2709
"Eaton, CO",0.142375,16
"Morgantown, KY",0.36260000000000003,4
"Bloomfield, KY",0.31661626794258374,209
"Arab, AL",0.13575408560311283,257
"Denton, NC",-0.0016666666666666668,6
"Hope Hull, AL",0.19505094339622642,53
"West Blocton, AL",0.3461544662309368,459
"Crane Hill, AL",0.19217727272727275,44
"Cave Springs, AR",0.25301997382198954,3820
"Seale, AL",0.3147803680981595,163
"Reevesville, SC",0.0,4
"Bainbridge, PA",0.12066516853932585,356
"Greenwood, IN",0.38222764811490123,557
"Reinholds, PA",0.23477149122807017,456
"Trafford, PA",0.40237148760330577,968
"Clarks Summit, PA",0.3362202443280977,1146
"Fleetwood, PA",0.20765535031847135,3144
"Unionville, CT",0.3319471698113208,106
"Moorhead, MN",0.3064953230472517,4148
"Batavia, IL",0.4231587570621469,177
"Morgan, UT",0.47719203426124196,4670
"Franklin, KY",0.2545711585866886,1217
"Grayson, KY",0.0633,46
"Bessemer, AL",0.3020134755332497,7970
"Lexington, SC",0.3265466431415128,11052
"Willisburg, KY",0.5515333333333333,3
"Saint Stephen, SC",0.056883333333333334,18
"Scottsboro, AL",0.23902235047219308,953
"Union Grove, AL",0.2779060402684564,596
"Winthrop, MN",0.3393909090909091,143
"Pasadena, MD",0.20338558068819118,69719
"Walnut Creek, CA",0.30946291390728475,906
"Crowley, TX",0.23327169811320755,689
"Blue Ridge Summit, PA",0.3701479166666667,96
"Troy, MO",0.3282577526132404,1148
"Glen Campbell, PA",n/a,0
"Harrison City, PA",0.2789542124542125,546
"Harwick, PA",0.20075535714285714,112
"Sciota, PA",0.25308378378378377,74
"Williamsburg, VA",0.1826498480243161,2961
"Perrysville, IN",0.20574516129032258,62
"Indianola, IL",0.0,3
"Largo, FL",0.15279112903225806,124
"Byron, MN",0.1112,16
"Monroe, NC",0.36933978906999043,1043
"Kentwood, LA",0.13077714285714287,70
"Monticello, UT",0.26448923444976075,836
"Marcell, MN",0.19403235294117646,68
"Menlo Park, CA",0.33852508960573474,5301
"Calexico, CA",0.33504935064935065,77
"York, SC",0.2713867924528302,53
"Winchester, KS",0.3395723320158103,253
"South Heights, PA",0.41095384615384617,26
"Kenai, AK",0.17878550724637682,414
"Oakdale, CA",0.3641218274111675,591
"Bethany, OK",0.06099935483870969,930
"Warren, RI",0.314093359375,512
"Finksburg, MD",0.3066214285714286,70
"North Liberty, IA",0.3816950226244344,442
"Lineville, AL",n/a,0
"Mulga, AL",0.2416432,125
"Lapine, AL",0.06985833333333334,12
"Enfield, CT",0.3026421739130435,1380
"Dracut, MA",0.2716749593495935,615
"Luzerne, PA",0.27929172932330826,266
"Keene, NH",0.32228970588235295,408
"Warren Center, PA",0.05778235294117648,34
"Decatur, GA",0.38728616315941194,3469
"Gaines, PA",0.32126666666666664,6
"New Stanton, PA",0.22102447478991596,1904
"Milton, PA",0.4512473684210526,38
"Greenwich, CT",0.3646734426229508,1830
"Eureka, IL",0.15550416666666667,24
"Lyons, IL",0.2794034129692833,586
"Waterford, MI",0.3142188441098317,4518
"Friendswood, TX",0.27918000000000004,15
"Kellogg, MN",0.1538,5
"Lake In The Hills, IL",0.26328137651821865,1976
"Beryl, UT",n/a,0
"Mantua, UT",0.31767701149425287,522
"Taft, TX",0.12021111111111112,36
"Laurinburg, NC",n/a,0
"Woodlyn, PA",0.3938666666666667,90
"Fremont, NE",0.10352105263157896,38
"Bethany, LA",0.2853294300518135,965
"Wilmore, KY",0.28618857142857146,105
"Canyon, TX",0.0017540540540540554,37
"Pageland, SC",0.1701090163934426,122
"Brookline, MA",0.3257461382113821,3936
"Redmond, OR",0.45766944444444446,72
"Hemlock, MI",0.24877137546468403,1345
"Shavertown, PA",0.2975882096069869,458
"Lockport, NY",0.0702,76
"Pequea, PA",0.19997512437810946,402
"Brackenridge, PA",0.3902603448275862,348
"Pulaski, PA",0.15542432432432432,74
"Severn, MD",0.18682744038155802,3145
"Kewanee, IL",0.14122093023255813,43
"Lindenhurst, IL",0.3709214188883868,2213
"Forest Lake, MN",0.3207427194317605,1971
"Forest View, IL",0.2547271052631579,380
"Lake Bluff, IL",0.4300007177033493,418
"Trophy Club, TX",n/a,0
"Washington, TX",n/a,0
"Manvel, TX",0.3160507836990596,319
"Ottawa, KS",0.23667731958762886,194
"Minnesota City, MN",0.24126230580539657,1223
"Santa Clarita, CA",n/a,0
"Johnston, SC",0.43400689655172414,58
"Fort Mitchell, AL",0.21955475409836064,305
"Fultondale, AL",0.28534964028776977,1113
"Samson, AL",0.10564615384615385,13
"Lewisberry, PA",0.43721343283582087,1608
"Montgomery, PA",0.3436866666666667,90
"Reading, PA",0.2757014459121742,11206
"Lake Wales, FL",0.079375,4
"Justice, IL",0.3583274193548387,186
"Ashby, MN",0.005427450980392168,51
"Circle Pines, MN",0.3443830476190476,535
"Harmony, MN",0.38379607843137253,204
"Waelder, TX",-0.06350689655172413,116
"Tenaha, TX",n/a,0
"Horse Cave, KY",0.145544,50
"Harrisburg, NC",0.19233030303030305,33
"Dixon, KY",0.08735454545454545,55
"Charleston, AR",0.20007128712871286,101
"Concord, CA",0.2967128976572133,4055
"Old Forge, PA",0.17537517730496455,564
"Rutledge, PA",0.3579807926829268,656
"Selinsgrove, PA",0.21874699248120302,266
"Whitehall, PA",0.2646548758865248,2256
"Morrisville, NC",0.4139551020408163,833
"Ellendale, MN",n/a,0
"Clearwater, KS",0.16591684210526314,190
"Vermillion, SD",0.26274000000000003,365
"Hanahan, SC",0.22032341772151898,474
"Mc Cormick, SC",n/a,0
"Clinton, SC",0.23498398268398268,231
"Ragland, AL",0.1636,127
"Tuskegee Institute, AL",0.0,8
"Hayward, CA",0.35277205506596443,19177
"Towson, MD",0.29632625482625485,4144
"Mayfield, PA",0.15048585526315789,608
"Conneaut Lake, PA",0.20625604395604397,364
"Cleveland Heights, OH",0.552269696969697,264
"Grand Rapids, MN",0.0,6
"Meadowbrook, PA",0.26801160220994474,1448
"Hunlock Creek, PA",0.5083610526315789,190
"Center City, MN",0.26815466666666665,375
"Foothill Ranch, CA",0.2440619918699187,12300
"Center Point, AL",0.24712545210984593,1493
"Dent, MN",0.1609818181818182,22
"Norwalk, CA",0.22585642023346303,257
"Belmont, CA",0.21272643678160919,348
"Smithville, TX",0.2902946750195771,1277
"Thorndale, PA",-0.06237264957264957,117
"Addison, AL",n/a,0
"Walton, KY",0.3478876811594203,1794
"Watertown, NY",n/a,0
"Payson, UT",0.16531658031088084,193
"Tiverton, RI",0.2369529220779221,616
"Biloxi, MS",0.3390866117969822,3645
"Menasha, WI",0.6018488888888889,45
"Aldan, PA",0.1511875,224
"Lagrange, GA",0.35664912280701755,114
"Nashville, TN",0.2917751329156704,198246
"West Chester, PA",0.31891735886065153,23452
"Mesa, AZ",0.17244085558952205,54629
"Waynesboro, PA",0.2567213514109348,9072
"Salem, OR",0.21610393063583816,865
"Susquehanna, PA",0.30027753846153843,650
"North Irwin, PA",0.41917,120
"Rogers, KY",n/a,0
"Menahga, MN",0.0,8
"Sterling, KS",0.30128333333333335,114
"Montevideo, MN",0.17529411764705882,51
"Sharon, SC",0.07706551724137932,58
"Grand Blanc, MI",0.34071927710843375,166
"Silverhill, AL",0.3206605095541401,314
"Summerdale, AL",0.28132744680851063,470
"Vandiver, AL",0.0,3
"Vernon, AL",0.098255,20
"Danville, AL",0.1912931899641577,279
"Elberta, AL",0.3339317307692308,416
"Dravosburg, PA",0.18840985915492958,426
"Sheffield, PA",0.34194680306905373,782
"Dunmore, PA",0.32910787504067684,3073
"Fredonia, PA",0.0,2
"Holtwood, PA",0.26574016736401673,478
"Lackawaxen, PA",0.2424360465116279,344
"Summit Hill, PA",0.2069409090909091,220
"Superior, CO",0.3892543859649123,114
"Lebanon, IL",0.2597764705882353,102
"Goodhue, MN",0.0,2
"San Francisco, CA",0.3153645633971292,6688
"Sutherland Springs, TX",n/a,0
"Georgetown, KY",0.2670848248381205,6024
"Glenview, KY",0.3111751445086705,173
"Penn, PA",-0.04984999999999999,36
"Sunnyvale, CA",0.39861896162528215,443
"Melville, NY",0.10063571428571429,14
"East Grand Forks, MN",n/a,0
"Troy, AL",0.06725294117647058,34
"Manchester, CT",0.351930966947201,217561
"Hyde Park, NY",0.19421372549019608,102
"Exton, PA",0.2347645871559633,1090
"Scott Township, PA",0.35065466666666667,150
"East Berlin, PA",0.3772013928571429,2800
"St. Louis Park, MN",0.20917165932452275,2043
"Palmyra, PA",0.2588150445194965,3257
"Litchfield, MN",0.4242207386363636,704
"Meridian, ID",n/a,0
"The Colony, TX",0.30763772619265217,5471
"West Columbia, TX",0.23988852459016394,61
"Decatur, IL",0.2525063157894737,380
"Burkesville, KY",0.0,2
"North Chesterfield, VA",0.35675805555555556,360
"Wyncote, PA",0.11657058823529412,102
"Moncks Corner, SC",0.251337793764988,2085
"Colquitt, GA",n/a,0
"Payette, ID",0.05096428571428572,14
"Wallowa, OR",n/a,0
"Crozet, VA",0.3256414527580557,1831
"Shippensburg, PA",0.22370597826086958,368
"North East, PA",0.2952237154150198,506
"Northumberland, PA",0.39308985507246375,138
"Saltsburg, PA",0.12583953488372093,172
"Ludlow, IL",0.02968666666666667,150
"High Point, NC",0.182875,24
"Kandiyohi, MN",0.11635999999999999,5
"Maple Plain, MN",0.33131554347826087,920
"Avon, IN",n/a,0
"Cynthiana, KY",0.3098896516393443,1952
"Petersburg, KY",0.31844242424242425,99
"Boaz, KY",0.2385582089552239,67
"Oswego, KS",0.18913333333333335,3
"Patton, PA",0.17369285714285715,14
"Manchester, NH",0.3360438524590164,244
"Ozark, AL",0.24000968178740692,1477
"Saraland, AL",0.2904262745098039,1276
"Bethel Heights, AR",0.2809382051282051,390
"Everett, WA",0.2391004761904762,210
"Los Angeles, CA",0.30973420973103655,3309
"Corona, CA",n/a,0
"Arlington, TX",0.355830258302583,1355
"Union City, PA",0.19566666666666666,312
"Garvin, MN",n/a,0
"Union Dale, PA",0.11034736842105262,19
"Fifty Lakes, MN",0.06476666666666667,36
"Cologne, MN",0.4619281690140845,71
"Fowler, IL",0.22495925925925928,189
"Somis, CA",0.34239590163934425,366
"Philpot, KY",0.4278179104477612,805
"Campbellsburg, IN",n/a,0
"Oronoco, MN",0.12824719101123594,89
"Yukon, OK",0.24636352,1250
"Ramsey, MN",0.3301243099273608,2065
"Smyrna, GA",0.25099302325581396,172
"Hemingway, SC",0.23056640625,128
"Lincoln, AL",0.3539110650069156,1446
"Newton, AL",0.2691955555555556,180
"Gilbertsville, PA",0.24559029036243823,9712
"Charleroi, PA",0.2796126436781609,348
"Tolland, CT",-0.21884285714285714,7
"Fairmount, IL",0.289382972972973,370
"Hillside, IL",0.17881699544764795,1977
"Mazeppa, MN",0.21137083333333334,24
"Tivoli, NY",n/a,0
"Chantilly, VA",0.31807207806609006,9019
"Bolingbrook, IL",0.2934251851851852,135
"Glasgow, KY",0.16873835877862595,524
"Woodward, PA",0.23056,5
"Princeton, MN",0.23334922206506364,707
"Lubbock, TX",0.19609807692307693,52
"Midwest City, OK",0.13770741599073,863
"Lamar, SC",n/a,0
"Winter Garden, FL",0.2455211229946524,374
"Longs, SC",0.25771223175965663,1864
"Cassatt, SC",-0.006153846153846153,13
"Coward, SC",-0.46213333333333334,3
"Kinsey, AL",0.23275483870967742,31
"Defiance, MO",0.3455013392857143,224
"Millington, TN",0.2417386557886558,5148
"Eagan, MN",0.3116047667921086,8769
"Salina, KS",0.2740077958959326,10918
"Wilmington, DE",0.2419108126487589,2943
"New Florence, PA",0.14492105263157895,38
"Renton, WA",0.24015157232704404,477
"Hooversville, PA",0.18118727272727272,110
"Tarentum, PA",0.3500345454545455,110
"Faribault, MN",0.2649307742782152,1524
"Westport, CT",0.32893345454545453,275
"Fort Ripley, MN",0.17128148148148148,27
"Tow, TX",0.39988093023255816,430
"Clarks Green, PA",0.4759424242424243,33
"Portsmouth, RI",0.33759318600368327,1629
"Florence, MS",0.2860198827292111,1876
"New Brunswick, NJ",0.130524,100
"Carlsbad, CA",0.8445526315789474,19
"Chagrin Falls, OH",0.1355713128038898,617
"Heath Springs, SC",0.20835546218487397,119
"Duncanville, TX",0.22689923595505618,2225
"Kinston, AL",-0.4215,1
"Bridgeport, AL",0.1507908163265306,98
"Ranburne, AL",0.23657037037037038,27
"Wood Village, OR",0.15262287581699346,306
"Rockvale, TN",0.4096918918918919,74
"New Brighton, PA",0.32199338842975206,1694
"Glendon, PA",0.1833156862745098,102
"Covington, KY",0.2504670198921733,5379
"Presto, PA",0.3100037037037037,54
"Lake Orion, MI",0.4502302631578947,76
"Socorro, TX",0.0,4
"Tuscola, TX",0.21631938775510204,196
"Panhandle, TX",0.0,2
"Eddyville, KY",0.22177695652173912,230
"Womelsdorf, PA",0.3032117216117216,273
"Ardmore, AL",0.2632433891992551,537
"Nisswa, MN",0.3096470930232558,172
"Nerstrand, MN",0.034776190476190474,21
"Woodstock, GA",0.36450514705882353,272
"Camarillo, CA",0.315791,100
"Detroit, AL",0.04309090909090909,11
"Peabody, MA",0.3048904216961906,6379
"Vernonia, OR",0.127196,150
"Dallas, TX",0.24287819882155792,36998
"Visalia, CA",0.17101374722838136,2706
"Great Bend, PA",n/a,0
"Ridgway, PA",0.08821875,32
"Tionesta, PA",0.47533333333333333,6
"Conneautville, PA",0.0,4
"Mercersburg, PA",0.12131886792452831,53
"Mount Wolf, PA",0.242075,376
"Madison, IL",0.22196934306569344,137
"Milaca, MN",0.19976473988439306,173
"Rancho Cucamonga, CA",0.2658958726899384,4870
"Central, UT",n/a,0
"Campbellsburg, KY",0.0,4
"Silverton, OR",0.32090843373493977,83
"Ladson, SC",0.2946154775604143,1738
"Mayesville, SC",0.33401315789473685,608
"Dunwoody, GA",0.26083,80
"Hackleburg, AL",0.15453333333333333,6
"Racine, MN",0.1258,6
"East Petersburg, PA",0.37264691358024693,2106
"Stroudsburg, PA",0.3652968599033816,2898
"Catawissa, PA",0.5200357142857143,28
"New Castle, PA",0.13674430538172716,1598
"Redmond, WA",0.3130696608040201,1592
"Darby, PA",0.24516407322654463,874
"Swedesboro, NJ",0.284884934086629,2124
"Plymouth, PA",0.060780434782608694,92
"Taylor, PA",-0.019601785714285707,112
"Ypsilanti, MI",0.30035062946795726,15807
"Huntsville, TX",0.33271,10
"Hoboken, NJ",n/a,0
"Westlake, TX",n/a,0
"Ogden, UT",0.26035960591133006,3045
"San Jose, CA",0.35912058111380146,1652
"Calhoun, KY",0.026230769230769235,52
"North Smithfield, RI",0.3175760765550239,209
"Newport, RI",0.3144715766099186,1351
"Corona Del Mar, CA",0.6400315789473684,57
"Stagecoach, TX",0.6493866666666667,30
"Huger, SC",0.3284290909090909,55
"Gaston, SC",0.2670062222222222,1350
"Darien, GA",n/a,0
"New Market, AL",0.29824013481980816,3857
"Centerton, AR",0.3484137178720861,3346
"Ambridge, PA",0.1999622448979592,392
"Carpentersville, IL",0.4126503267973856,459
"Coraopolis, PA",0.23390997575337721,2887
"Mohnton, PA",0.4144176113360324,988
"Castle Hayne, NC",0.20329370277078085,397
"Kildeer, IL",0.4501071428571428,70
"Logan, UT",0.29467811264822136,4048
"Polk City, IA",n/a,0
"Nolensville, TN",0.5473326923076923,780
"Basking Ridge, NJ",0.28757444444444447,180
"Lake City, SC",0.1293925,40
"Shelbyville, KY",0.28762414982750123,2029
"Eutawville, SC",0.3116136612021858,183
"Olanta, SC",n/a,0
"Bigelow, AR",0.10973421052631578,76
"Port Royal, SC",0.3338668067226891,476
"Bellefonte, PA",0.18882757619738752,1378
"Forksville, PA",0.01681851851851852,54
"Imperial, PA",0.2898951893551689,9772
"Dillsburg, PA",0.2884694402420575,2644
"Larksville, PA",0.2757813664596273,322
"Balaton, MN",0.21843181818181817,154
"Hopkinsville, KY",0.3514852210526316,2376
"Muskogee, OK",0.22752910850253807,6304
"Seneca, KS",0.09962857142857144,7
"Beverly, MA",0.4338678846702826,3503
"Billingsley, AL",n/a,0
"Wakarusa, KS",0.23271510791366906,139
"New Haven, KY",0.0,9
"Chepachet, RI",0.124628125,96
"Concord, MA",0.4160501275510204,1568
"Camden, AL",0.26365959031657354,537
"Dadeville, AL",0.22134548802946594,543
"Brownsboro, AL",0.2621883561643836,292
"Fairdale, KY",0.3461078426966292,4450
"Hagerstown, MD",0.29812886904761904,2688
"Ford Cliff, PA",-0.0756,10
"Gastonia, NC",0.21423444444444445,360
"Hegins, PA",0.21522532894736843,608
"Eagleville, PA",0.3791294300518135,5790
"Napa, CA",0.25430395136778117,329
"Leesport, PA",0.19359437751004016,498
"Claremont, MN",0.0,1
"Draper, UT",0.2884214540733528,3081
"Tioga, TX",0.094076,50
"Riley, KS",0.2717193548387097,31
"Sauk Rapids, MN",0.21754396782841823,1121
"Bois D Arc, MO",0.2045,20
"Brownsburg, IN",0.2489578969072165,2425
"Bakerstown, PA",-0.08683703703703703,54
"Cedar Hill, TX",0.26199713799943325,17645
"Farmington Hills, MI",0.36925629139072846,302
"Pen Argyl, PA",0.24482410714285716,896
"Port Wentworth, GA",0.2489125742711068,14474
"Indianola, PA",n/a,0
"Keizer, OR",0.23832899082568806,14170
"Laurel Hill, FL",n/a,0
"East York, PA",0.04238363636363636,110
"Kennerdell, PA",0.30052142857142855,28
"Upper Gwynedd, PA",n/a,0
"Anoka, MN",0.2700962481962482,693
"Manteno, IL",0.2373834051724138,464
"Tulia, TX",n/a,0
"Kaysville, UT",0.2583497709923664,3930
"Gamaliel, KY",0.0,2
"Cadiz, KY",0.29662727272727274,55
"Sedgwick, KS",0.2951077399380805,646
"Ramsey, NJ",0.14196754491017965,3340
"Elgin, MN",0.0,1
"Prospect Heights, IL",0.24194935064935066,77
"Sebree, KY",0.12765,4
"San Rafael, CA",0.3059712643678161,174
"Monroe, LA",0.2323115525352849,3826
"Donalds, SC",0.05313333333333334,27
"Blackville, SC",0.08481935483870967,124
"Edgemoor, SC",0.24017094017094018,117
"Clio, AL",0.8915000000000001,1
"Crossett, AR",0.05899767441860465,43
"Fackler, AL",0.0,2
"Milan, TN",0.27282901639344265,1220
"Huntington, WV",0.384125,1120
"Martinsburg, PA",0.10004285714285714,14
"Gibsonton, FL",0.3029171122994653,187
"Clarkson, KY",n/a,0
"Rose Valley, PA",0.2874286206896552,580
"Millmont, PA",n/a,0
"Knoxville, TN",0.3138735546651402,1747
"Fort Myers Beach, FL",0.18075555555555556,54
"West Tawakoni, TX",0.13926038647342995,414
"Parker, KS",-0.027333333333333328,9
"North Bend, OR",0.088855,40
"Eielson Afb, AK",0.0,4
"Hartford, MI",0.1257375,16
"Tompkinsville, KY",0.09411428571428572,21
"Carthage, NC",0.228637899543379,219
"Affton, MO",0.28425836065573773,610
"Poolville, TX",0.33343467741935484,124
"Moultrie, GA",n/a,0
"Drasco, AR",0.10727142857142856,28
"Fort Lauderdale, FL",0.19130153324417273,20936
"Framingham, MA",0.34027722286374135,3464
"Biglerville, PA",0.19866596638655462,476
"Council Bluffs, IA",0.27678837209302326,86
"Fairfield, PA",0.3137891410048622,2468
"Hammonton, NJ",0.11655967343578486,7288
"Groveton, NH",0.2154222222222222,108
"Hillsboro, KY",0.10875897435897436,39
"Melber, KY",0.0,2
"Wrightsville, PA",0.4147532738095238,336
"Bloomfield, NJ",0.5315873769024172,4468
"Ardmore, OK",0.4442952380952381,21
"Pamplico, SC",0.36501578947368424,190
"Bennettsville, SC",0.27782698412698414,63
"Cleveland, AL",0.19245634517766497,197
"Coal Township, PA",0.3041076086956522,184
"Olyphant, PA",0.05124150943396229,106
"East Mc Keesport, PA",0.33466842105263156,228
"Villa Rica, GA",0.257128125,32
"Maple Park, IL",0.21099117647058824,34
"Maple Valley, WA",0.2034536231884058,69
"Spokane, WA",0.3276068869241508,2149
"Morning View, KY",0.1385357142857143,14
"Portersville, PA",0.0647967032967033,91
"Douglas, AK",0.11880322580645161,62
"Pine Island, MN",0.14336666666666667,3
"El Paso, TX",0.2738254658385093,161
"Belton, SC",0.20275065146579804,1228
"Seabrook, SC",0.248078125,160
"Enoree, SC",0.2113341463414634,41
"Indian Springs, AL",0.39422672413793103,116
"Cedarville, AR",0.40051250000000005,8
"Webb, AL",0.23840411764705882,510
"Tualatin, OR",0.42212794117647057,136
"Hartland, WI",0.26734166666666664,72
"Dresher, PA",0.2878795918367347,1078
"New Cumberland, PA",0.3011399477186312,8416
"St. Petersburg, FL",0.3558923913043478,552
"Donegal, PA",0.3605441860465116,430
"Fairchance, PA",0.20353783783783783,74
"Centennial, CO",0.5027795373085696,3069
"Morris, CT",0.1733375,64
"Lake City, PA",0.2795605007664793,3914
"Shoreview, MN",0.32652432279909704,1772
"Illiopolis, IL",0.0,3
"Lombard, IL",0.25643529185128106,5191
"Kendall Park, NJ",0.14527826086956522,368
"Syracuse, NY",-0.005,2
"Bloomingdale, NY",n/a,0
"Cottageville, SC",0.2283760683760684,117
"Elkmont, AL",0.2998125,240
"Flomaton, AL",0.17936666666666667,36
"Lester, AL",n/a,0
"Stockton, AL",0.24897246963562752,247
"Sulligent, AL",-0.08023333333333334,6
"Booneville, AR",0.09820467289719625,107
"Cranesville, PA",0.4162225,80
"Millersville, PA",0.4965403908794788,614
"Millbrae, CA",0.20524793388429752,242
"West Pittston, PA",0.1880532786885246,244
"South Windsor, CT",n/a,0
"Humboldt, IL",0.3677258823529412,85
"Delhi, IA",n/a,0
"Harris, MN",0.3106649425287356,174
"Thayer, KS",0.25949302325581397,1376
"Lumberton, NJ",0.31037236842105265,152
"Narragansett, RI",0.3087724187380497,2092
"North Pole, AK",0.23018197320341047,1642
"Iola, KS",0.11111559633027523,327
"Winter Springs, FL",0.3631703448275862,145
"Sugar Hill, GA",0.37114482758620687,29
"Keller, TX",0.4349227814569536,755
"Cowarts, AL",0.035029508196721314,61
"Chesapeake, VA",0.2843178556452019,59617
"Ambler, PA",0.38169509604519775,8850
"Chalfont, PA",0.27868816863100637,2206
"New Holland, PA",0.36338688212927756,1052
"North Warren, PA",0.32153333333333334,30
"Polk, PA",0.30815000000000003,48
"Salem, UT",0.37929986613119143,747
"Simpson, PA",0.2809063829787234,94
"Cochranton, PA",0.3114233993015134,1718
"Greentown, PA",0.21349113924050633,158
"New Bethlehem, PA",0.20662,30
"Burlington, MA",0.30106750524109016,477
"Woodbury, NJ",0.35493506493506494,308
"Glen Rock, PA",0.3495284188034188,936
"Paoli, PA",0.3335183257918552,884
"Franklin Park, IL",0.3014312684365782,339
"Barnesville, MN",0.12786129032258065,31
"Hawesville, KY",0.0,4
"Melrose, MA",0.28395244195356284,1249
"Wolcott, VT",-0.014,5
"Three Rivers, TX",0.2575119402985075,67
"Orangevale, CA",0.011942424242424254,33
"Stockton, UT",0.0854625,8
"Cayce, SC",0.25203398853398856,1221
"Gatesville, TX",0.2132,6
"Georgetown, SC",0.23598728493495594,2383
"Clover, SC",0.30340171555063644,7229
"Acme, PA",0.28112,50
"Spring City, PA",0.35073676470588233,952
"Alpharetta, GA",0.3204374081401922,7076
"Honesdale, PA",0.28438872651356994,958
"Danville, PA",0.4327201465201465,1092
"Oxford, PA",0.33854574712643676,870
"Sugar Notch, PA",0.17282857142857141,42
"Reisterstown, MD",0.21261111111111114,27
"Kamas, UT",0.1950349234393404,1698
"Glencoe, IL",0.40672631578947366,323
"Grant Park, IL",0.15926428571428572,14
"Wallkill, NY",0.29579787234042554,94
"Deerwood, MN",0.193915873015873,126
"Texline, TX",0.44881666666666664,12
"Grimes, IA",0.177,39
"Lancaster, KY",0.24763916532905297,1246
"Olmstead, KY",0.2255125,8
"Woodbury, PA",0.177640625,96
"Cumberland, RI",0.30937508561643834,1168
"Richmond, RI",0.2674132819194516,1167
"Newnan, GA",0.19583745247148288,526
"Moore, SC",0.2819713475177305,3525
"Montevallo, AL",0.20435899581589959,239
"Castleberry, AL",0.17170000000000002,23
"Richburg, SC",0.21332718446601942,206
"Beccaria, PA",0.13125769230769233,52
"Blossburg, PA",0.005316666666666676,24
"Moosic, PA",0.4020607843137255,102
"New Kensington, PA",0.2396439347990902,2638
"Steelton, PA",0.2242589641434263,502
"Cheyney, PA",0.3816,146
"Canton, PA",0.0,6
"Grindstone, PA",0.19992531380753137,956
"Henryville, IN",0.31565585585585587,444
"Jacksonville, IL",0.3222001545595054,647
"Fisher, MN",n/a,0
"Duchesne, UT",0.1467546875,128
"Sacramento, KY",0.0,1
"Commerce, GA",0.2849375,80
"Chester, SC",0.22902679640718562,668
"Chester, AR",0.059075,4
"Jim Thorpe, PA",0.2880381918819188,1084
"Shoemakersville, PA",0.531091,200
"Bridgeport, PA",0.1507908163265306,196
"King Of Prussia, PA",0.27845087290502796,5728
"St. Peters, MO",0.3883672955974843,477
"West Olive, MI",0.16962391304347826,138
